Time,FLOW,TEMP,SALT
2010-01-01 00:00:00,0.709,0,0
2010-01-02 00:00:00,0.691,0,0
2010-01-03 00:00:00,0.677,0,0
2010-01-04 00:00:00,0.662,0,0
2010-01-05 00:00:00,0.647,0,0
2010-01-06 00:00:00,0.633,0,0
2010-01-07 00:00:00,0.619,0,0
2010-01-08 00:00:00,0.607,0.1,0
2010-01-09 00:00:00,0.594,0,0
2010-01-10 00:00:00,0.583,0,0
2010-01-11 00:00:00,0.571,0,0
2010-01-12 00:00:00,0.558,0,0
2010-01-13 00:00:00,0.544,0,0
2010-01-14 00:00:00,0.53,0,0
2010-01-15 00:00:00,0.517,0.1,0
2010-01-16 00:00:00,0.503,0.1,0
2010-01-17 00:00:00,0.492,0.1,0
2010-01-18 00:00:00,0.479,0.1,0
2010-01-19 00:00:00,0.47,0.2,0
2010-01-20 00:00:00,0.459,0.1,0
2010-01-21 00:00:00,0.449,0.1,0
2010-01-22 00:00:00,0.441,0.1,0
2010-01-23 00:00:00,0.431,0,0
2010-01-24 00:00:00,0.422,0,0
2010-01-25 00:00:00,0.411,0,0
2010-01-26 00:00:00,0.399,0,0
2010-01-27 00:00:00,0.386,0,0
2010-01-28 00:00:00,0.381,0,0
2010-01-29 00:00:00,0.373,0,0
2010-01-30 00:00:00,0.364,0,0
2010-01-31 00:00:00,0.355,0,0
2010-02-01 00:00:00,0.35,0,0
2010-02-02 00:00:00,0.348,0,0
2010-02-03 00:00:00,0.348,0.1,0
2010-02-04 00:00:00,0.35,0.1,0
2010-02-05 00:00:00,0.354,0.1,0
2010-02-06 00:00:00,0.362,0.1,0
2010-02-07 00:00:00,0.372,0.1,0
2010-02-08 00:00:00,0.381,0,0
2010-02-09 00:00:00,0.387,0,0
2010-02-10 00:00:00,0.391,0,0
2010-02-11 00:00:00,0.391,0,0
2010-02-12 00:00:00,0.39,0,0
2010-02-13 00:00:00,0.387,0,0
2010-02-14 00:00:00,0.381,0,0
2010-02-15 00:00:00,0.375,0,0
2010-02-16 00:00:00,0.382,0,0
2010-02-17 00:00:00,0.502,0,0
2010-02-18 00:00:00,0.608,0,0
2010-02-19 00:00:00,0.673,0,0
2010-02-20 00:00:00,0.639,0,0
2010-02-21 00:00:00,0.614,0,0
2010-02-22 00:00:00,0.587,0,0
2010-02-23 00:00:00,0.558,0,0
2010-02-24 00:00:00,0.532,0,0
2010-02-25 00:00:00,0.507,0,0
2010-02-26 00:00:00,0.484,0,0
2010-02-27 00:00:00,0.461,0.1,0
2010-02-28 00:00:00,0.443,0.1,0
2010-03-01 00:00:00,0.434,0.1,0
2010-03-02 00:00:00,0.436,0.2,0
2010-03-03 00:00:00,0.488,0.2,0
2010-03-04 00:00:00,0.542,0.2,0
2010-03-05 00:00:00,0.569,0.1,0
2010-03-06 00:00:00,0.562,0,0
2010-03-07 00:00:00,0.547,0,0
2010-03-08 00:00:00,0.529,0.1,0
2010-03-09 00:00:00,0.51,0.1,0
2010-03-10 00:00:00,0.499,0.2,0
2010-03-11 00:00:00,0.506,0.2,0
2010-03-12 00:00:00,0.526,0.3,0
2010-03-13 00:00:00,0.544,0.3,0
2010-03-14 00:00:00,0.556,0.2,0
2010-03-15 00:00:00,0.56,0.2,0
2010-03-16 00:00:00,0.558,0,0
2010-03-17 00:00:00,0.553,0,0
2010-03-18 00:00:00,0.547,0.2,0
2010-03-19 00:00:00,0.538,0.4,0
2010-03-20 00:00:00,0.565,0.8,0
2010-03-21 00:00:00,0.847,0.8,0
2010-03-22 00:00:00,1.525,0.7,0
2010-03-23 00:00:00,1.902,0.8,0
2010-03-24 00:00:00,1.935,0.8,0
2010-03-25 00:00:00,1.945,0.9,0
2010-03-26 00:00:00,1.883,1.1,0
2010-03-27 00:00:00,1.822,1.1,0
2010-03-28 00:00:00,2.077,1,0
2010-03-29 00:00:00,2.518,1.1,0
2010-03-30 00:00:00,2.689,1.1,0
2010-03-31 00:00:00,2.995,1.1,0
2010-04-01 00:00:00,3.247,1.2,0
2010-04-02 00:00:00,3.319,1.2,0
2010-04-03 00:00:00,3.848,1.2,0
2010-04-04 00:00:00,4.225,1.1,0
2010-04-05 00:00:00,4.616,1,0
2010-04-06 00:00:00,4.638,1.3,0
2010-04-07 00:00:00,4.656,1.4,0
2010-04-08 00:00:00,5.02,1.6,0
2010-04-09 00:00:00,5.912,1.5,0
2010-04-10 00:00:00,7.231,1.7,0
2010-04-11 00:00:00,7.901,2.1,0
2010-04-12 00:00:00,7.949,2.7,0
2010-04-13 00:00:00,7.745,3.1,0
2010-04-14 00:00:00,7.811,3.4,0
2010-04-15 00:00:00,8.008,3.9,0
2010-04-16 00:00:00,8.354,4,0
2010-04-17 00:00:00,8.904,4.5,0
2010-04-18 00:00:00,9.174,4.7,0
2010-04-19 00:00:00,9.199,5.1,0
2010-04-20 00:00:00,8.573,5.3,0
2010-04-21 00:00:00,7.654,5,0
2010-04-22 00:00:00,6.738,4.5,0
2010-04-23 00:00:00,6.167,4.7,0
2010-04-24 00:00:00,5.817,5.1,0
2010-04-25 00:00:00,5.447,6,0
2010-04-26 00:00:00,4.977,6.9,0
2010-04-27 00:00:00,4.512,7.5,0
2010-04-28 00:00:00,4.072,7.5,0
2010-04-29 00:00:00,3.669,8.5,0
2010-04-30 00:00:00,3.298,9.6,0
2010-05-01 00:00:00,2.96,10.1,0
2010-05-02 00:00:00,2.653,9.6,0
2010-05-03 00:00:00,2.367,9,0
2010-05-04 00:00:00,2.112,8.5,0
2010-05-05 00:00:00,1.886,7.9,0
2010-05-06 00:00:00,1.703,8.2,0
2010-05-07 00:00:00,1.621,8.3,0
2010-05-08 00:00:00,1.555,8,0
2010-05-09 00:00:00,1.51,8.2,0
2010-05-10 00:00:00,1.481,8.2,0
2010-05-11 00:00:00,1.464,8.7,0
2010-05-12 00:00:00,1.452,9.1,0
2010-05-13 00:00:00,1.447,10.2,0
2010-05-14 00:00:00,1.448,11.2,0
2010-05-15 00:00:00,1.45,12.7,0
2010-05-16 00:00:00,1.452,12.9,0
2010-05-17 00:00:00,1.456,13.6,0
2010-05-18 00:00:00,1.455,14.2,0
2010-05-19 00:00:00,1.454,14.7,0
2010-05-20 00:00:00,1.45,15.4,0
2010-05-21 00:00:00,1.445,15.1,0
2010-05-22 00:00:00,1.436,15.5,0
2010-05-23 00:00:00,1.427,13.4,0
2010-05-24 00:00:00,1.459,12.6,0
2010-05-25 00:00:00,1.477,11.4,0
2010-05-26 00:00:00,1.488,11.6,0
2010-05-27 00:00:00,1.484,11.5,0
2010-05-28 00:00:00,1.475,11.7,0
2010-05-29 00:00:00,1.461,11.6,0
2010-05-30 00:00:00,1.446,12.4,0
2010-05-31 00:00:00,1.431,12.8,0
2010-06-01 00:00:00,1.415,12.8,0
2010-06-02 00:00:00,1.393,13.6,0
2010-06-03 00:00:00,1.367,14.7,0
2010-06-04 00:00:00,1.328,14.3,0
2010-06-05 00:00:00,1.283,13.2,0
2010-06-06 00:00:00,1.244,13.3,0
2010-06-07 00:00:00,1.206,13.4,0
2010-06-08 00:00:00,1.165,13.9,0
2010-06-09 00:00:00,1.126,14.1,0
2010-06-10 00:00:00,1.086,14.5,0
2010-06-11 00:00:00,1.046,13.9,0
2010-06-12 00:00:00,1.025,13.8,0
2010-06-13 00:00:00,1.007,14.1,0
2010-06-14 00:00:00,0.994,13.6,0
2010-06-15 00:00:00,0.962,12.5,0
2010-06-16 00:00:00,0.915,12.8,0
2010-06-17 00:00:00,0.869,14.2,0
2010-06-18 00:00:00,0.829,14.3,0
2010-06-19 00:00:00,0.801,14.4,0
2010-06-20 00:00:00,0.775,14,0
2010-06-21 00:00:00,0.756,13.7,0
2010-06-22 00:00:00,0.736,14.8,0
2010-06-23 00:00:00,0.714,15.3,0
2010-06-24 00:00:00,0.687,16.2,0
2010-06-25 00:00:00,0.658,17,0
2010-06-26 00:00:00,0.628,16.4,0
2010-06-27 00:00:00,0.598,16.5,0
2010-06-28 00:00:00,0.572,17.4,0
2010-06-29 00:00:00,0.545,18.5,0
2010-06-30 00:00:00,0.515,19.1,0
2010-07-01 00:00:00,0.487,17.9,0
2010-07-02 00:00:00,0.46,18.2,0
2010-07-03 00:00:00,0.436,19.7,0
2010-07-04 00:00:00,0.411,20.9,0
2010-07-05 00:00:00,0.389,20.9,0
2010-07-06 00:00:00,0.368,19.7,0
2010-07-07 00:00:00,0.348,19.8,0
2010-07-08 00:00:00,0.33,20.2,0
2010-07-09 00:00:00,0.313,20.7,0
2010-07-10 00:00:00,0.296,21.3,0
2010-07-11 00:00:00,0.28,22.1,0
2010-07-12 00:00:00,0.266,23.3,0
2010-07-13 00:00:00,0.251,23.9,0
2010-07-14 00:00:00,0.24,23.1,0
2010-07-15 00:00:00,0.228,22.3,0
2010-07-16 00:00:00,0.223,22.4,0
2010-07-17 00:00:00,0.212,22,0
2010-07-18 00:00:00,0.204,21.5,0
2010-07-19 00:00:00,0.194,20.5,0
2010-07-20 00:00:00,0.185,21.1,0
2010-07-21 00:00:00,0.174,21.7,0
2010-07-22 00:00:00,0.167,21.8,0
2010-07-23 00:00:00,0.16,17.8,0
2010-07-24 00:00:00,0.152,16.6,0
2010-07-25 00:00:00,0.285,16.9,0
2010-07-26 00:00:00,0.287,17.6,0
2010-07-27 00:00:00,0.365,18.2,0
2010-07-28 00:00:00,0.379,18.2,0
2010-07-29 00:00:00,0.373,18.1,0
2010-07-30 00:00:00,0.377,18.4,0
2010-07-31 00:00:00,0.413,18,0
2010-08-01 00:00:00,0.439,18.4,0
2010-08-02 00:00:00,0.435,17.1,0
2010-08-03 00:00:00,0.445,17,0
2010-08-04 00:00:00,0.476,16.5,0
2010-08-05 00:00:00,0.542,16.9,0
2010-08-06 00:00:00,0.684,17.2,0
2010-08-07 00:00:00,0.714,16.9,0
