Time,FLOW
2010-01-01 00:00:00,0.709
2010-01-02 00:00:00,0.691
2010-01-03 00:00:00,0.677
2010-01-04 00:00:00,0.662
2010-01-05 00:00:00,0.647
2010-01-06 00:00:00,0.633
2010-01-07 00:00:00,0.619
2010-01-08 00:00:00,0.607
2010-01-09 00:00:00,0.594
2010-01-10 00:00:00,0.583
2010-01-11 00:00:00,0.571
2010-01-12 00:00:00,0.558
2010-01-13 00:00:00,0.544
2010-01-14 00:00:00,0.53
2010-01-15 00:00:00,0.517
2010-01-16 00:00:00,0.503
2010-01-17 00:00:00,0.492
2010-01-18 00:00:00,0.479
2010-01-19 00:00:00,0.47
2010-01-20 00:00:00,0.459
2010-01-21 00:00:00,0.449
2010-01-22 00:00:00,0.441
2010-01-23 00:00:00,0.431
2010-01-24 00:00:00,0.422
2010-01-25 00:00:00,0.411
2010-01-26 00:00:00,0.399
2010-01-27 00:00:00,0.386
2010-01-28 00:00:00,0.381
2010-01-29 00:00:00,0.373
2010-01-30 00:00:00,0.364
2010-01-31 00:00:00,0.355
2010-02-01 00:00:00,0.35
2010-02-02 00:00:00,0.348
2010-02-03 00:00:00,0.348
2010-02-04 00:00:00,0.35
2010-02-05 00:00:00,0.354
2010-02-06 00:00:00,0.362
2010-02-07 00:00:00,0.372
2010-02-08 00:00:00,0.381
2010-02-09 00:00:00,0.387
2010-02-10 00:00:00,0.391
2010-02-11 00:00:00,0.391
2010-02-12 00:00:00,0.39
2010-02-13 00:00:00,0.387
2010-02-14 00:00:00,0.381
2010-02-15 00:00:00,0.375
2010-02-16 00:00:00,0.382
2010-02-17 00:00:00,0.502
2010-02-18 00:00:00,0.608
2010-02-19 00:00:00,0.673
2010-02-20 00:00:00,0.639
2010-02-21 00:00:00,0.614
2010-02-22 00:00:00,0.587
2010-02-23 00:00:00,0.558
2010-02-24 00:00:00,0.532
2010-02-25 00:00:00,0.507
2010-02-26 00:00:00,0.484
2010-02-27 00:00:00,0.461
2010-02-28 00:00:00,0.443
2010-03-01 00:00:00,0.434
2010-03-02 00:00:00,0.436
2010-03-03 00:00:00,0.488
2010-03-04 00:00:00,0.542
2010-03-05 00:00:00,0.569
2010-03-06 00:00:00,0.562
2010-03-07 00:00:00,0.547
2010-03-08 00:00:00,0.529
2010-03-09 00:00:00,0.51
2010-03-10 00:00:00,0.499
2010-03-11 00:00:00,0.506
2010-03-12 00:00:00,0.526
2010-03-13 00:00:00,0.544
2010-03-14 00:00:00,0.556
2010-03-15 00:00:00,0.56
2010-03-16 00:00:00,0.558
2010-03-17 00:00:00,0.553
2010-03-18 00:00:00,0.547
2010-03-19 00:00:00,0.538
2010-03-20 00:00:00,0.565
2010-03-21 00:00:00,0.847
2010-03-22 00:00:00,1.525
2010-03-23 00:00:00,1.902
2010-03-24 00:00:00,1.935
2010-03-25 00:00:00,1.945
2010-03-26 00:00:00,1.883
2010-03-27 00:00:00,1.822
2010-03-28 00:00:00,2.077
2010-03-29 00:00:00,2.518
2010-03-30 00:00:00,2.689
2010-03-31 00:00:00,2.995
2010-04-01 00:00:00,3.247
2010-04-02 00:00:00,3.319
2010-04-03 00:00:00,3.848
2010-04-04 00:00:00,4.225
2010-04-05 00:00:00,4.616
2010-04-06 00:00:00,4.638
2010-04-07 00:00:00,4.656
2010-04-08 00:00:00,5.02
2010-04-09 00:00:00,5.912
2010-04-10 00:00:00,7.231
2010-04-11 00:00:00,7.901
2010-04-12 00:00:00,7.949
2010-04-13 00:00:00,7.745
2010-04-14 00:00:00,7.811
2010-04-15 00:00:00,8.008
2010-04-16 00:00:00,8.354
2010-04-17 00:00:00,8.904
2010-04-18 00:00:00,9.174
2010-04-19 00:00:00,9.199
2010-04-20 00:00:00,8.573
2010-04-21 00:00:00,7.654
2010-04-22 00:00:00,6.738
2010-04-23 00:00:00,6.167
2010-04-24 00:00:00,5.817
2010-04-25 00:00:00,5.447
2010-04-26 00:00:00,4.977
2010-04-27 00:00:00,4.512
2010-04-28 00:00:00,4.072
2010-04-29 00:00:00,3.669
2010-04-30 00:00:00,3.298
2010-05-01 00:00:00,2.96
2010-05-02 00:00:00,2.653
2010-05-03 00:00:00,2.367
2010-05-04 00:00:00,2.112
2010-05-05 00:00:00,1.886
2010-05-06 00:00:00,1.703
2010-05-07 00:00:00,1.621
2010-05-08 00:00:00,1.555
2010-05-09 00:00:00,1.51
2010-05-10 00:00:00,1.481
2010-05-11 00:00:00,1.464
2010-05-12 00:00:00,1.452
2010-05-13 00:00:00,1.447
2010-05-14 00:00:00,1.448
2010-05-15 00:00:00,1.45
2010-05-16 00:00:00,1.452
2010-05-17 00:00:00,1.456
2010-05-18 00:00:00,1.455
2010-05-19 00:00:00,1.454
2010-05-20 00:00:00,1.45
2010-05-21 00:00:00,1.445
2010-05-22 00:00:00,1.436
2010-05-23 00:00:00,1.427
2010-05-24 00:00:00,1.459
2010-05-25 00:00:00,1.477
2010-05-26 00:00:00,1.488
2010-05-27 00:00:00,1.484
2010-05-28 00:00:00,1.475
2010-05-29 00:00:00,1.461
2010-05-30 00:00:00,1.446
2010-05-31 00:00:00,1.431
2010-06-01 00:00:00,1.415
2010-06-02 00:00:00,1.393
2010-06-03 00:00:00,1.367
2010-06-04 00:00:00,1.328
2010-06-05 00:00:00,1.283
2010-06-06 00:00:00,1.244
2010-06-07 00:00:00,1.206
2010-06-08 00:00:00,1.165
2010-06-09 00:00:00,1.126
2010-06-10 00:00:00,1.086
2010-06-11 00:00:00,1.046
2010-06-12 00:00:00,1.025
2010-06-13 00:00:00,1.007
2010-06-14 00:00:00,0.994
2010-06-15 00:00:00,0.962
2010-06-16 00:00:00,0.915
2010-06-17 00:00:00,0.869
2010-06-18 00:00:00,0.829
2010-06-19 00:00:00,0.801
2010-06-20 00:00:00,0.775
2010-06-21 00:00:00,0.756
2010-06-22 00:00:00,0.736
2010-06-23 00:00:00,0.714
2010-06-24 00:00:00,0.687
2010-06-25 00:00:00,0.658
2010-06-26 00:00:00,0.628
2010-06-27 00:00:00,0.598
2010-06-28 00:00:00,0.572
2010-06-29 00:00:00,0.545
2010-06-30 00:00:00,0.515
2010-07-01 00:00:00,0.487
2010-07-02 00:00:00,0.46
2010-07-03 00:00:00,0.436
2010-07-04 00:00:00,0.411
2010-07-05 00:00:00,0.389
2010-07-06 00:00:00,0.368
2010-07-07 00:00:00,0.348
2010-07-08 00:00:00,0.33
2010-07-09 00:00:00,0.313
2010-07-10 00:00:00,0.296
2010-07-11 00:00:00,0.28
2010-07-12 00:00:00,0.266
2010-07-13 00:00:00,0.251
2010-07-14 00:00:00,0.24
2010-07-15 00:00:00,0.228
2010-07-16 00:00:00,0.223
2010-07-17 00:00:00,0.212
2010-07-18 00:00:00,0.204
2010-07-19 00:00:00,0.194
2010-07-20 00:00:00,0.185
2010-07-21 00:00:00,0.174
2010-07-22 00:00:00,0.167
2010-07-23 00:00:00,0.16
2010-07-24 00:00:00,0.152
2010-07-25 00:00:00,0.285
2010-07-26 00:00:00,0.287
2010-07-27 00:00:00,0.365
2010-07-28 00:00:00,0.379
2010-07-29 00:00:00,0.373
2010-07-30 00:00:00,0.377
2010-07-31 00:00:00,0.413
2010-08-01 00:00:00,0.439
2010-08-02 00:00:00,0.435
2010-08-03 00:00:00,0.445
2010-08-04 00:00:00,0.476
2010-08-05 00:00:00,0.542
2010-08-06 00:00:00,0.684
2010-08-07 00:00:00,0.714
2010-08-08 00:00:00,0.729
2010-08-09 00:00:00,0.772
2010-08-10 00:00:00,0.763
2010-08-11 00:00:00,0.809
2010-08-12 00:00:00,0.759
2010-08-13 00:00:00,0.698
2010-08-14 00:00:00,0.643
2010-08-15 00:00:00,0.598
2010-08-16 00:00:00,0.558
2010-08-17 00:00:00,0.524
2010-08-18 00:00:00,0.497
2010-08-19 00:00:00,0.555
2010-08-20 00:00:00,0.546
2010-08-21 00:00:00,0.569
2010-08-22 00:00:00,0.542
2010-08-23 00:00:00,0.517
2010-08-24 00:00:00,0.495
2010-08-25 00:00:00,0.476
2010-08-26 00:00:00,0.46
2010-08-27 00:00:00,0.449
2010-08-28 00:00:00,0.434
2010-08-29 00:00:00,0.418
2010-08-30 00:00:00,0.404
2010-08-31 00:00:00,0.388
2010-09-01 00:00:00,0.373
2010-09-02 00:00:00,0.359
2010-09-03 00:00:00,0.348
2010-09-04 00:00:00,0.338
2010-09-05 00:00:00,0.328
2010-09-06 00:00:00,0.341
2010-09-07 00:00:00,0.328
2010-09-08 00:00:00,0.316
2010-09-09 00:00:00,0.303
2010-09-10 00:00:00,0.292
2010-09-11 00:00:00,0.282
2010-09-12 00:00:00,0.273
2010-09-13 00:00:00,0.262
2010-09-14 00:00:00,0.256
2010-09-15 00:00:00,0.251
2010-09-16 00:00:00,0.257
2010-09-17 00:00:00,0.343
2010-09-18 00:00:00,0.531
2010-09-19 00:00:00,0.632
2010-09-20 00:00:00,0.677
2010-09-21 00:00:00,0.678
2010-09-22 00:00:00,0.707
2010-09-23 00:00:00,0.851
2010-09-24 00:00:00,0.922
2010-09-25 00:00:00,0.876
2010-09-26 00:00:00,0.815
2010-09-27 00:00:00,0.756
2010-09-28 00:00:00,0.702
2010-09-29 00:00:00,0.655
2010-09-30 00:00:00,0.611
2010-10-01 00:00:00,0.572
2010-10-02 00:00:00,0.537
2010-10-03 00:00:00,0.504
2010-10-04 00:00:00,0.474
2010-10-05 00:00:00,0.447
2010-10-06 00:00:00,0.42
2010-10-07 00:00:00,0.398
2010-10-08 00:00:00,0.382
2010-10-09 00:00:00,0.364
2010-10-10 00:00:00,0.348
2010-10-11 00:00:00,0.332
2010-10-12 00:00:00,0.318
2010-10-13 00:00:00,0.305
2010-10-14 00:00:00,0.293
2010-10-15 00:00:00,0.28
2010-10-16 00:00:00,0.269
2010-10-17 00:00:00,0.259
2010-10-18 00:00:00,0.249
2010-10-19 00:00:00,0.24
2010-10-20 00:00:00,0.234
2010-10-21 00:00:00,0.228
2010-10-22 00:00:00,0.223
2010-10-23 00:00:00,0.219
2010-10-24 00:00:00,0.22
2010-10-25 00:00:00,0.278
2010-10-26 00:00:00,0.404
2010-10-27 00:00:00,0.584
2010-10-28 00:00:00,0.67
2010-10-29 00:00:00,0.712
2010-10-30 00:00:00,0.714
2010-10-31 00:00:00,0.688
2010-11-01 00:00:00,0.65
2010-11-02 00:00:00,0.612
2010-11-03 00:00:00,0.578
2010-11-04 00:00:00,0.582
2010-11-05 00:00:00,0.61
2010-11-06 00:00:00,0.682
2010-11-07 00:00:00,0.707
2010-11-08 00:00:00,0.695
2010-11-09 00:00:00,0.659
2010-11-10 00:00:00,0.63
2010-11-11 00:00:00,0.813
2010-11-12 00:00:00,1.053
2010-11-13 00:00:00,1.125
2010-11-14 00:00:00,1.346
2010-11-15 00:00:00,1.495
2010-11-16 00:00:00,1.512
2010-11-17 00:00:00,1.962
2010-11-18 00:00:00,2.097
2010-11-19 00:00:00,1.987
2010-11-20 00:00:00,1.863
2010-11-21 00:00:00,1.764
2010-11-22 00:00:00,1.692
2010-11-23 00:00:00,1.659
2010-11-24 00:00:00,1.619
2010-11-25 00:00:00,1.588
2010-11-26 00:00:00,1.534
2010-11-27 00:00:00,1.468
2010-11-28 00:00:00,1.396
2010-11-29 00:00:00,1.321
2010-11-30 00:00:00,1.245
2010-12-01 00:00:00,1.172
2010-12-02 00:00:00,1.102
2010-12-03 00:00:00,1.037
2010-12-04 00:00:00,0.977
2010-12-05 00:00:00,0.92
2010-12-06 00:00:00,0.867
2010-12-07 00:00:00,0.818
2010-12-08 00:00:00,0.775
2010-12-09 00:00:00,0.733
2010-12-10 00:00:00,0.707
2010-12-11 00:00:00,0.701
2010-12-12 00:00:00,0.696
2010-12-13 00:00:00,0.693
2010-12-14 00:00:00,0.693
2010-12-15 00:00:00,0.693
2010-12-16 00:00:00,0.693
2010-12-17 00:00:00,0.698
2010-12-18 00:00:00,0.702
2010-12-19 00:00:00,0.707
2010-12-20 00:00:00,0.718
2010-12-21 00:00:00,0.731
2010-12-22 00:00:00,0.748
2010-12-23 00:00:00,0.763
2010-12-24 00:00:00,0.777
2010-12-25 00:00:00,0.79
2010-12-26 00:00:00,0.806
2010-12-27 00:00:00,0.82
